Product Details,ASIN,Brand,Price,Sales,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Lindt Lindor Milk Chocolate Truffles Box - The Ideal Gift - Chocolate Balls with a Smooth Melting Filling, 200 g",B00NW479QO,Lindt,3.5,13466.0,3.0,2.62,30.0,5.0,44069.0,12.0,868.0,Amazon,Food Cupboard,Small Oversize,AMZ,4.2x6.3x3.1,0.51,9/26/2014
"Andrex Toilet Roll - Gentle Clean Toilet Paper, 45 Toilet Rolls",B004OCO20E,Andrex,18.28,13338.0,2.0,8.38,30.0,5.0,40397.0,5.0,830.0,Amazon,Grocery,Large Oversize,AMZ,13.5x21.8x13.0,9.77,2/17/2011
Baileys Original Irish Cream Liqueur 1L,B0049NYI7K,BAILEYS,9.99,11194.0,4.0,3.93,22.0,5.0,3827.0,6.0,235.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.7x12.2x3.7,3.73,10/21/2010
"Tassimo Kenco Americano Grande Coffee Pods (Pack of 5, Total 80 Coffee Capsules)",B016DEGFWI,Tassimo,14.87,13492.0,2.0,5.19,11.0,5.0,28800.0,5.0,466.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.8x15.5x6.2,3.26,8/4/2010
"Tassimo Costa Gingerbread Latte Coffee Pods (Pack of 5, Total 40 Coffee Capsules)",B07JVF2FCV,Tassimo,45.0,13377.0,6.0,11.03,1.0,5.0,27494.0,9.0,223.0,Bountyville,Drinks,Large Oversize,FBA,6.7x15.4x6.1,4.74,9/3/2018
"Regina XXL Kitchen Roll, 8 Rolls, 600 Extra Large Sheets",B07T2SCHM7,Regina,8.0,11983.0,5.0,6.16,21.0,5.0,11120.0,6.0,701.0,,Grocery,Large Oversize,MFN,10.6x34.6x5.1,5.34,5/1/2020
"Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines, 200g, Pack of 16",B0177IQTXO,Ferrero,3.75,2668.0,7.0,2.64,2.0,5.0,29424.0,14.0,946.0,Amazon,Food Cupboard,Large Oversize,AMZ,3.0x5.6x2.8,0.57,11/12/2015
Lindt Milk Advent Calendar 160g - A selection of 24 finest Lindt Milk chocolates for a festive and magical countdown until Christmas,B00654DUJI,Lindt,5.0,15683.0,1.0,2.74,130.0,5.0,3573.0,11.0,142.0,Amazon,Food Cupboard,Large Oversize,AMZ,10.7x13.6x1.5,0.64,1/24/2011
"Regina Blitz Household Towel, 8 Rolls, 560 Super-Sized Sheets, Triple Layered Strength",B01JS6YLQK,Regina,11.0,13468.0,9.0,7.22,18.0,5.0,28675.0,6.0,356.0,Amazon,Grocery,Large Oversize,AMZ,13.8x22.3x11.5,6.31,7/6/2016
"DYLON Washing Machine Fabric Dye Pod for Clothes & Soft Furnishings, 350g – Deep Violet",B0725XG88N,DYLON,5.0,23288.0,2.0,2.74,34.0,5.0,1368.0,5.0,0.0,Amazon,Home & Kitchen,Large Oversize,AMZ,3.2x3.7x2.9,0.71,6/5/2017
