Brand,Price,Sales,BSR,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Dimensions,Weight,period,Creation Date_year,Creation Date_month,Creation Date_day,Size Tier_Large Envelope,Size Tier_Large Letter,Size Tier_Large Oversize,Size Tier_Small Envelope,Size Tier_Small Oversize,Size Tier_Standard Envelope,Size Tier_Standard Parcel,Delivery_AMZ,Delivery_FBA,Delivery_MFN
789,0.5921245511915548,1277,59,-0.5505206326752106,5,-0.435086143298573,1.0102960574815252,0.0032334738069000374,38,9,1.3981606665135797,0.7730073589949915,157,2021,7,27,0,0,1,0,0,0,0,1,0,0
278,-0.4697176356522411,10791,84,-0.5505206326752106,0,-0.6127879565542392,1.3528214947512986,0.0032334738069000374,38,13,0.8406854413932362,-0.6729660503580109,96,2021,9,26,0,0,1,0,0,0,0,1,0,0
918,-0.34352030492290636,5111,179,1.2812948353842435,5,-0.10189524344419873,-0.35980569159756937,0.0032334738069000374,38,8,-0.6419460796549781,-1.165212317371799,112,2021,9,10,0,0,0,0,1,0,0,1,0,0
894,-0.9808805611316675,99,15109,-0.5505206326752106,4,0.2609126252861199,-0.017280254327795737,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,442,2020,10,15,0,0,1,0,0,0,0,0,0,1
894,0.03889584880235035,122,7974,-0.5505206326752106,4,1.0235495738416875,0.3252451829419779,0.14244669018139197,588,8,0.25225139794582135,0.3935675281718631,415,2020,11,11,0,0,1,0,0,0,0,0,0,1
1130,0.9261013254449458,3,15944,-0.5505206326752106,0,-0.6127879565542392,0.6677706202117515,0.0032334738069000374,316,8,0.372604706255783,1.367804931636652,57,2021,11,4,0,0,1,0,0,0,0,0,1,0
1297,0.29511467179827233,221,6767,0.0600845233446075,5,1.3345277470391035,-0.017280254327795737,0.072840081994146,78,8,-0.4255410529456407,1.2755087565715666,525,2020,7,24,0,0,1,0,0,0,0,0,0,1
1135,-0.40725633054378246,90,14909,-0.5505206326752106,3,-0.6053837143352532,1.0102960574815252,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,113,2021,9,9,0,0,1,0,0,0,0,0,0,1
735,-0.34352030492290636,45,19064,-0.5505206326752106,5,-0.5757667454593087,1.3528214947512986,0.0032334738069000374,156,8,0.5689839239073987,-0.4473531779766914,96,2021,9,26,0,0,1,0,0,0,0,0,1,0
639,-0.5984644074064108,52,15893,0.0600845233446075,4,2.615461650923698,-0.017280254327795737,0.14244669018139197,314,8,-0.37639663504182835,-0.3960775251627553,1072,2019,1,24,0,0,1,0,0,0,0,0,1,0
187,0.29511467179827233,115,26129,0.6706896793644255,4,0.9791241205277711,-0.017280254327795737,0.0032334738069000374,38,8,0.1825399329016463,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
776,-0.5997391279188283,53,11766,0.0600845233446075,5,-0.590575229897281,-1.0448565661371165,0.14244669018139197,395,8,-0.6236883150005513,-0.42684291685111686,120,2021,9,2,0,0,1,0,0,0,0,0,1,0
1138,-0.725936458648163,152,12447,-0.5505206326752106,4,2.6820998308945727,2.3803978065606195,0.21205329836863793,468,8,-1.189029533588612,-1.5138867565065655,1102,2018,12,25,1,0,0,0,0,0,0,0,1,0
187,0.29511467179827233,75,24395,0.6706896793644255,5,0.897677456118924,-0.017280254327795737,0.21205329836863793,38,8,0.5585199876430045,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
1135,-1.1720886379942959,33,15857,-0.5505206326752106,0,-0.6127879565542392,-0.702331128867343,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,88,2021,10,4,0,0,1,0,0,0,0,0,0,1
1135,-1.1720886379942959,43,16746,-0.5505206326752106,0,-0.6127879565542392,-0.35980569159756937,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,88,2021,10,4,0,0,1,0,0,0,0,0,0,1
735,0.29383995128585483,31,28389,-0.5505206326752106,5,-0.597979472116267,1.3528214947512986,0.0032334738069000374,156,8,0.5947468566411157,0.9370894479995876,448,2020,10,9,0,0,1,0,0,0,0,0,1,0
1135,2.2059207199121382,41,18369,-0.5505206326752106,5,-0.5239370499264061,1.0102960574815252,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,337,2021,1,28,0,0,1,0,0,0,0,0,0,1
